LABEL,TRACK_ID,SPOT_SOURCE_ID,SPOT_TARGET_ID,LINK_COST,DIRECTIONAL_CHANGE_RATE,SPEED,DISPLACEMENT,EDGE_TIME,EDGE_X_LOCATION,EDGE_Y_LOCATION,EDGE_Z_LOCATION,MANUAL_EDGE_COLOR
Label,Track ID,Source spot ID,Target spot ID,Edge cost,Directional change rate,Speed,Displacement,Edge time,Edge X,Edge Y,Edge Z,Manual edge color
Label,Track ID,Source ID,Target ID,Cost,γ rate,Speed,Disp.,Edge T,Edge X,Edge Y,Edge Z,Edge color
,,,,(cost),(rad/sec),(pixel/sec),(pixel),(sec),(pixel),(pixel),(pixel),
ID6104 → ID6106,6,6104,6106,-1.0,1.5707963267948966,6.0,6.0,1.5,1202.5,215.5,0.0,
ID6116 → ID6118,7,6116,6118,-1.0,NaN,13.416407864998739,13.416407864998739,0.5,1086.5,253.5,0.0,
ID6118 → ID6120,7,6118,6120,-1.0,2.4329663814621227,8.246211251235321,8.246211251235321,1.5,1090.5,251.5,0.0,
ID6127 → ID6129,8,6127,6129,-1.0,0.0,14.142135623730951,14.142135623730951,1.5,1020.5,234.5,0.0,
ID6125 → ID6127,8,6125,6127,-1.0,NaN,0.0,0.0,0.5,1021.5,227.5,0.0,
ID6135 → ID6137,9,6135,6137,-1.0,NaN,12.165525060596439,12.165525060596439,0.5,1066.5,197.5,0.0,
ID6137 → ID6139,9,6137,6139,-1.0,2.51279636717436,4.47213595499958,4.47213595499958,1.5,1068.5,193.5,0.0,
ID6147 → ID6149,10,6147,6149,-1.0,1.2490457723982544,4.47213595499958,4.47213595499958,1.5,1061.5,178.5,0.0,
ID6145 → ID6147,10,6145,6147,-1.0,NaN,2.8284271247461903,2.8284271247461903,0.5,1058.5,178.5,0.0,
ID6158 → ID6161,11,6158,6161,-1.0,2.852088981628405,12.165525060596439,12.165525060596439,1.5,854.5,149.5,0.0,
ID6156 → ID6158,11,6156,6158,-1.0,NaN,16.1245154965971,16.1245154965971,0.5,852.5,151.5,0.0,
ID6169 → ID6171,12,6169,6171,-1.0,NaN,18.973665961010276,18.973665961010276,0.5,842.5,408.5,0.0,
ID6171 → ID6173,12,6171,6173,-1.0,0.5743048301747018,12.806248474865697,12.806248474865697,1.5,850.5,395.5,0.0,
ID6181 → ID6184,13,6181,6184,-1.0,0.23684876094692026,18.867962264113206,18.867962264113206,1.5,761.5,476.5,0.0,
ID6179 → ID6181,13,6179,6181,-1.0,NaN,18.973665961010276,18.973665961010276,0.5,778.5,468.5,0.0,
ID6190 → ID6192,14,6190,6192,-1.0,NaN,8.94427190999916,8.94427190999916,0.5,775.5,433.5,0.0,
ID6192 → ID6195,14,6192,6195,-1.0,2.356194490192345,6.324555320336759,6.324555320336759,1.5,772.5,432.5,0.0,
ID6204 → ID6207,15,6204,6207,-1.0,1.546410917622178,32.31098884280702,32.31098884280702,1.5,790.5,289.5,0.0,
ID6202 → ID6204,15,6202,6204,-1.0,NaN,15.231546211727817,15.231546211727817,0.5,772.5,290.5,0.0,
ID6216 → ID6219,16,6216,6219,-1.0,2.4329663814621227,6.324555320336759,6.324555320336759,1.5,438.5,440.5,0.0,
ID6213 → ID6216,16,6213,6216,-1.0,NaN,11.661903789690601,11.661903789690601,0.5,442.5,440.5,0.0,
ID6227 → ID6229,17,6227,6229,-1.0,2.677945044588987,8.246211251235321,8.246211251235321,1.5,518.5,459.5,0.0,
ID6225 → ID6227,17,6225,6227,-1.0,NaN,18.439088914585774,18.439088914585774,0.5,513.5,462.5,0.0,
ID6240 → ID6242,18,6240,6242,-1.0,2.214297435588181,4.47213595499958,4.47213595499958,1.5,542.5,547.5,0.0,
ID6237 → ID6240,18,6237,6240,-1.0,NaN,8.94427190999916,8.94427190999916,0.5,545.5,549.5,0.0,
ID6249 → ID6251,19,6249,6251,-1.0,NaN,10.770329614269007,10.770329614269007,0.5,507.5,562.5,0.0,
ID6251 → ID6253,19,6251,6253,-1.0,2.516107613350564,8.246211251235321,8.246211251235321,1.5,504.5,561.5,0.0,
ID6263 → ID6265,20,6263,6265,-1.0,3.141592653589793,4.0,4.0,1.5,315.5,225.5,0.0,
