LABEL,ID,TRACK_ID,QUALITY,POSITION_X,POSITION_Y,POSITION_Z,POSITION_T,FRAME,RADIUS,VISIBILITY,MANUAL_SPOT_COLOR,MEAN_INTENSITY_CH1,MEDIAN_INTENSITY_CH1,MIN_INTENSITY_CH1,MAX_INTENSITY_CH1,TOTAL_INTENSITY_CH1,STD_INTENSITY_CH1,CONTRAST_CH1,SNR_CH1,ELLIPSE_X0,ELLIPSE_Y0,ELLIPSE_MAJOR,ELLIPSE_MINOR,ELLIPSE_THETA,ELLIPSE_ASPECTRATIO,AREA,PERIMETER,CIRCULARITY,SOLIDITY,SHAPE_INDEX
Label,Spot ID,Track ID,Quality,X,Y,Z,T,Frame,Radius,Visibility,Manual spot color,Mean intensity ch1,Median intensity ch1,Min intensity ch1,Max intensity ch1,Sum intensity ch1,Std intensity ch1,Contrast ch1,Signal/Noise ratio ch1,Ellipse center x0,Ellipse center y0,Ellipse long axis,Ellipse short axis,Ellipse angle,Ellipse aspect ratio,Area,Perimeter,Circularity,Solidity,Shape index
Label,Spot ID,Track ID,Quality,X,Y,Z,T,Frame,R,Visibility,Spot color,Mean ch1,Median ch1,Min ch1,Max ch1,Sum ch1,Std ch1,Ctrst ch1,SNR ch1,El. x0,El. y0,El. long axis,El. sh. axis,El. angle,El. a.r.,Area,Perim.,Circ.,Solidity,Shape index
,,,(quality),(pixel),(pixel),(pixel),(sec),,(pixel),,,(counts),(counts),(counts),(counts),(counts),(counts),,,(pixel),(pixel),(pixel),(pixel),(radians),,(pixel^2),(pixel),,,
ID2148,2148,0,-1.0,931.5,729.5,0.0,36.0,36,5.0,1,,49026.0618556701,65535.0,10794.0,65535.0,4755528.0,21639.783220000943,0.16824580156717933,0.652550467723199,0.0,0.0,5.0,5.0,0.0,1.0,78.53981633974483,31.41592653589793,1.0,1.0,3.5449077018110318
ID2021,2021,0,-1.0,977.5,669.5,0.0,1.0,1,5.0,1,,56990.41237113402,65535.0,13107.0,65535.0,5528070.0,16422.507417256485,0.14264035336008432,0.8664134328780507,0.0,0.0,5.0,5.0,0.0,1.0,78.53981633974483,31.41592653589793,1.0,1.0,3.5449077018110318
ID2150,2150,0,-1.0,925.5,721.5,0.0,37.0,37,5.0,1,,64930.9175257732,65535.0,44718.0,65535.0,6298299.0,2846.413077856719,0.22257775931218649,8.305941815083346,0.0,0.0,5.0,5.0,0.0,1.0,78.53981633974483,31.41592653589793,1.0,1.0,3.5449077018110318
ID2023,2023,0,-1.0,953.5,661.5,0.0,2.0,2,5.0,1,,64907.072164948455,65535.0,43176.0,65535.0,6295986.0,3243.186811248251,0.18432013238915507,6.229507478026119,0.0,0.0,5.0,5.0,0.0,1.0,78.53981633974483,31.41592653589793,1.0,1.0,3.5449077018110318
ID2155,2155,0,-1.0,921.5,709.5,0.0,38.0,38,5.0,1,,65535.0,65535.0,65535.0,65535.0,6356895.0,0.0,0.19055085188669382,Infinity,0.0,0.0,5.0,5.0,0.0,1.0,78.53981633974483,31.41592653589793,1.0,1.0,3.5449077018110318
ID2157,2157,0,-1.0,917.5,715.5,0.0,39.0,39,5.0,1,,65535.0,65535.0,65535.0,65535.0,6356895.0,0.0,0.21289566861006842,Infinity,0.0,0.0,5.0,5.0,0.0,1.0,78.53981633974483,31.41592653589793,1.0,1.0,3.5449077018110318
ID2029,2029,0,-1.0,961.5,659.5,0.0,3.0,3,5.0,1,,60662.59793814433,65535.0,16962.0,65535.0,5884272.0,12724.686007635399,0.23231456623271463,1.7974581425218237,0.0,0.0,5.0,5.0,0.0,1.0,78.53981633974483,31.41592653589793,1.0,1.0,3.5449077018110318
ID2031,2031,0,-1.0,971.5,677.5,0.0,4.0,4,5.0,1,,62395.36082474227,65535.0,22359.0,65535.0,6052350.0,9503.73313842334,0.15967689124129192,1.8079779470817974,0.0,0.0,5.0,5.0,0.0,1.0,78.53981633974483,31.41592653589793,1.0,1.0,3.5449077018110318
ID2033,2033,0,-1.0,973.5,673.5,0.0,5.0,5,5.0,1,,60742.0824742268,65535.0,16191.0,65535.0,5891982.0,12221.133745884345,0.24287686570560765,1.942523230593466,0.0,0.0,5.0,5.0,0.0,1.0,78.53981633974483,31.41592653589793,1.0,1.0,3.5449077018110318
ID2035,2035,0,-1.0,973.5,671.5,0.0,6.0,6,5.0,1,,54383.31958762887,65535.0,13107.0,65535.0,5275182.0,18413.78384783301,0.12710803826739478,0.6661317552196936,0.0,0.0,5.0,5.0,0.0,1.0,78.53981633974483,31.41592653589793,1.0,1.0,3.5449077018110318
